date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,exit_reason
2025-12-30,long,2025-12-30 10:15:00+05:30,25956.15,2025-12-30 15:25:00+05:30,25970.55,25878.0,,14.4,63,EOD
2025-12-31,long,2025-12-31 10:30:00+05:30,26028.0,2025-12-31 15:25:00+05:30,26141.85,25970.75,,113.85,60,EOD
2026-01-01,long,2026-01-01 09:50:00+05:30,26195.35,2026-01-01 10:10:00+05:30,26149.25,26149.25,,-46.1,5,SL
2026-01-02,long,2026-01-02 09:45:00+05:30,26249.65,2026-01-02 15:25:00+05:30,26335.7,26118.4,,86.05,69,EOD
2026-04-23,long,2026-04-23 09:45:00+05:30,24256.9,2026-04-23 15:25:00+05:30,24156.05,24134.8,,-100.85,69,EOD
2026-04-30,long,2026-04-30 13:40:00+05:30,24019.15,2026-04-30 15:25:00+05:30,24043.7,23864.55,,24.55,22,EOD
2026-05-22,long,2026-05-22 09:50:00+05:30,23778.6,2026-05-22 15:25:00+05:30,23748.85,23671.0,,-29.75,68,EOD
2026-05-25,long,2026-05-25 10:35:00+05:30,23989.1,2026-05-25 15:25:00+05:30,24049.9,23922.85,,60.8,59,EOD
2026-06-09,long,2026-06-09 14:40:00+05:30,23259.45,2026-06-09 15:25:00+05:30,23257.75,23194.9,,-1.7,10,EOD
2026-06-10,long,2026-06-10 09:45:00+05:30,23356.9,2026-06-10 15:10:00+05:30,23217.3,23217.3,,-139.6,66,SL
2026-06-11,long,2026-06-11 09:45:00+05:30,23148.6,2026-06-11 15:25:00+05:30,23186.55,23072.05,,37.95,69,EOD
2026-06-12,long,2026-06-12 13:35:00+05:30,23455.95,2026-06-12 15:25:00+05:30,23631.75,23364.25,,175.8,23,EOD
2026-06-22,long,2026-06-22 09:55:00+05:30,24142.4,2026-06-22 15:25:00+05:30,24086.85,24073.8,,-55.55,67,EOD
2026-06-23,long,2026-06-23 10:00:00+05:30,24133.05,2026-06-23 11:45:00+05:30,24040.75,24040.75,,-92.3,22,SL
2026-06-24,long,2026-06-24 10:00:00+05:30,23894.7,2026-06-24 15:25:00+05:30,24013.15,23790.25,,118.45,66,EOD
2026-06-25,long,2026-06-25 09:50:00+05:30,24169.4,2026-06-25 14:20:00+05:30,24108.05,24108.05,,-61.35,55,SL
2026-06-29,long,2026-06-29 10:25:00+05:30,24110.7,2026-06-29 11:50:00+05:30,24005.75,24005.75,,-104.95,18,SL
2026-07-01,long,2026-07-01 09:45:00+05:30,23949.65,2026-07-01 15:25:00+05:30,23988.1,23896.0,,38.45,69,EOD
2026-07-02,long,2026-07-02 14:35:00+05:30,24159.2,2026-07-02 15:25:00+05:30,24167.95,24062.2,,8.75,11,EOD
2026-07-15,long,2026-07-15 10:15:00+05:30,24217.85,2026-07-15 12:55:00+05:30,24074.7,24074.7,,-143.15,33,SL
2026-07-17,long,2026-07-17 09:45:00+05:30,24231.45,2026-07-17 15:25:00+05:30,24343.65,24100.9,,112.2,69,EOD
2026-07-20,long,2026-07-20 14:00:00+05:30,24261.6,2026-07-20 15:25:00+05:30,24239.5,24159.6,,-22.1,18,eod
2026-07-23,long,2026-07-23 10:00:00+05:30,23951.5,2026-07-23 12:40:00+05:30,23876.75,23876.75,,-74.75,33,sl
2026-08-07,long,2026-08-07 09:45:00+05:30,24620.0,2026-08-07 12:15:00+05:30,24535.05,24535.05,,-84.95,31,sl
2026-08-14,long,2026-08-14 13:45:00+05:30,24363.75,2026-08-14 15:25:00+05:30,24366.0,24304.6,,2.25,21,eod
2026-08-17,long,2026-08-17 13:30:00+05:30,24357.6,2026-08-17 15:25:00+05:30,24287.65,24281.45,,-69.95,24,eod
