date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,gap_pct
2025-08-18,short,2025-08-18 09:15:00+05:30,2025-08-18 09:30:00+05:30,24938.2,24988.2,24988.2,24777.12,-60.0,sl,1.31
2025-08-21,short,2025-08-21 09:15:00+05:30,2025-08-21 09:20:00+05:30,25142.0,25074.7,25192.0,25094.58,57.3,tgt,0.38
2025-09-04,short,2025-09-04 09:15:00+05:30,2025-09-04 10:10:00+05:30,24980.75,24847.17,25030.75,24847.17,123.58,tgt,1.08
2025-09-10,short,2025-09-10 09:15:00+05:30,2025-09-10 14:40:00+05:30,24991.0,24934.9,25041.0,24934.9,46.1,tgt,0.45
2025-09-18,short,2025-09-18 09:15:00+05:30,2025-09-18 12:35:00+05:30,25441.05,25385.6,25491.05,25385.6,45.45,tgt,0.44
2025-10-20,short,2025-10-20 09:15:00+05:30,2025-10-20 09:20:00+05:30,25824.6,25903.25,25874.6,25764.65,-88.65,sl,0.47
2025-10-23,short,2025-10-23 09:15:00+05:30,2025-10-23 14:20:00+05:30,26057.2,25945.25,26107.2,25945.25,101.95,tgt,0.87
2025-11-12,short,2025-11-12 09:15:00+05:30,2025-11-12 11:15:00+05:30,25834.3,25884.3,25884.3,25769.92,-60.0,sl,0.5
2025-12-01,short,2025-12-01 09:15:00+05:30,2025-12-01 09:55:00+05:30,26325.8,26265.17,26375.8,26265.17,50.62,tgt,0.46
2025-12-19,short,2025-12-19 09:15:00+05:30,2025-12-19 09:30:00+05:30,25911.5,25961.5,25961.5,25863.58,-60.0,sl,0.37
2025-12-22,short,2025-12-22 09:15:00+05:30,2025-12-22 09:20:00+05:30,26055.85,26105.85,26105.85,26008.62,-60.0,sl,0.36
2026-01-13,short,2026-01-13 09:15:00+05:30,2026-01-13 09:20:00+05:30,25897.35,25845.75,25947.35,25851.72,41.6,tgt,0.35
2026-01-22,short,2026-01-22 09:15:00+05:30,2026-01-22 09:25:00+05:30,25344.15,25394.15,25394.15,25256.12,-60.0,sl,0.7
