date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,entry_wait_min,exit_wait_min,mae,mfe,exit_reason
2024-01-23,long,2024-01-23 03:45:00,21720.3,2024-01-23 04:45:00,21541.8,,,-178.5,2,0,60,-200.4,0.0,Target
2024-01-23,short,2024-01-23 05:45:00,21418.0,2024-01-24 09:45:00,21460.05,,,-42.05,12,0,660,-64.35,280.8,Target
2024-01-29,long,2024-01-29 04:45:00,21590.4,2024-01-30 08:45:00,21587.1,,,-3.3,12,0,660,-88.6,222.65,Target
2024-02-01,long,2024-02-01 04:45:00,21813.05,2024-02-05 08:45:00,21805.55,,,-7.5,19,0,1080,-154.3,313.75,Target
2024-02-08,short,2024-02-08 04:45:00,21726.95,2024-02-12 03:45:00,21814.55,,,-87.6,14,0,780,-104.75,97.05,Target
2024-02-12,short,2024-02-12 04:45:00,21629.9,2024-02-14 08:45:00,21766.45,,,-136.55,19,0,1080,-240.95,99.7,Target
2024-02-15,long,2024-02-15 03:45:00,21906.55,2024-02-21 08:45:00,22083.3,,,176.75,34,0,1980,-82.7,342.85,Target
2024-02-22,short,2024-02-22 03:45:00,21997.95,2024-02-22 09:45:00,22241.5,,,-243.55,7,0,360,-254.55,122.7,Target
2024-02-23,long,2024-02-23 03:45:00,22290.0,2024-02-26 05:45:00,22100.9,,,-189.1,10,0,540,-207.05,0.0,Target
2024-02-28,short,2024-02-28 04:45:00,22075.15,2024-02-29 09:45:00,22054.65,,,20.5,13,0,720,-13.05,214.5,Target
2024-03-01,long,2024-03-01 05:45:00,22229.15,2024-03-05 03:45:00,22358.3,,,129.15,16,0,900,0.0,211.75,Target
2024-03-06,short,2024-03-06 03:45:00,22269.15,2024-03-06 08:45:00,22416.9,,,-147.75,6,0,300,-213.9,44.8,Target
2024-03-06,long,2024-03-06 09:45:00,22483.05,2024-03-11 05:45:00,22411.3,,,-71.75,11,0,600,-116.2,43.55,Target
2024-03-13,short,2024-03-13 04:45:00,22256.0,2024-03-18 08:45:00,22093.5,,,162.5,26,0,1500,0.0,350.35,Target
2024-03-19,short,2024-03-19 03:45:00,21916.55,2024-03-20 07:45:00,21913.65,,,2.9,12,0,660,-14.35,206.35,Target
2024-03-22,long,2024-03-22 05:45:00,22080.95,2024-04-03 03:45:00,22385.7,,,304.75,41,0,2400,-133.4,449.0,Target
2024-04-04,long,2024-04-04 03:45:00,22592.1,2024-04-04 04:45:00,22346.5,,,-245.6,2,0,60,-288.3,0.0,Target
2024-04-08,long,2024-04-08 03:45:00,22619.0,2024-04-09 08:45:00,22616.1,,,-2.9,13,0,720,-13.1,149.4,Target
2024-04-10,long,2024-04-10 08:45:00,22768.4,2024-04-12 06:45:00,22624.85,,,-143.55,6,0,300,-224.2,0.0,Target
2024-04-12,short,2024-04-12 07:45:00,22544.2,2024-04-18 05:45:00,22295.55,,,248.65,20,0,1140,-19.55,464.75,Target
2024-04-18,short,2024-04-18 08:45:00,22079.45,2024-04-22 03:45:00,22336.9,,,-257.45,10,0,540,-257.65,301.8,Target
2024-04-22,long,2024-04-22 08:45:00,22337.1,2024-04-25 03:45:00,22316.9,,,-20.2,17,0,960,-31.85,139.35,Target
2024-04-25,long,2024-04-25 07:45:00,22476.45,2024-05-03 05:45:00,22567.85,,,91.4,34,0,1980,-90.9,318.25,Target
2024-05-03,short,2024-05-03 06:45:00,22454.8,2024-05-13 08:45:00,22111.65,,,343.15,45,0,2640,-134.0,633.75,Target
2024-05-14,long,2024-05-14 05:45:00,22186.15,2024-05-16 04:45:00,22151.75,,,-34.4,14,0,780,-58.8,143.85,Target
2024-05-16,short,2024-05-16 07:45:00,22070.55,2024-05-16 08:45:00,22330.0,,,-259.45,2,0,60,-338.2,10.1,Target
2024-05-16,long,2024-05-16 09:45:00,22408.75,2024-05-27 08:45:00,22927.8,,,519.05,45,0,2640,-63.1,702.05,Target
2024-05-28,short,2024-05-28 09:45:00,22871.2,2024-06-03 03:45:00,23337.9,,,-466.7,23,0,1320,-467.5,454.2,Target
2024-06-04,short,2024-06-04 03:45:00,22417.0,2024-06-05 08:45:00,22560.65,,,-143.65,13,0,720,-415.5,1135.55,Target
2024-06-07,long,2024-06-07 03:45:00,22910.15,2024-06-19 04:45:00,23442.1,,,531.95,51,0,3000,0.0,720.7,Target
2024-06-19,long,2024-06-19 08:45:00,23630.85,2024-06-21 06:45:00,23442.6,,,-188.25,13,0,720,-208.45,36.25,Target
2024-06-21,short,2024-06-21 08:45:00,23412.9,2024-06-25 03:45:00,23585.7,,,-172.8,10,0,540,-205.2,62.9,Target
2024-06-25,long,2024-06-25 06:45:00,23667.1,2024-07-05 03:45:00,24213.35,,,546.25,54,0,3180,-5.6,733.9,Target
2024-07-09,long,2024-07-09 04:45:00,24385.55,2024-07-10 04:45:00,24286.65,,,-98.9,8,0,420,-243.75,75.5,Target
2024-07-12,long,2024-07-12 04:45:00,24461.05,2024-07-18 03:45:00,24543.8,,,82.75,21,0,1200,0.0,217.85,Target
2024-07-18,long,2024-07-18 06:45:00,24678.9,2024-07-19 09:45:00,24519.75,,,-159.15,11,0,600,-170.75,175.9,Target
2024-07-22,short,2024-07-22 03:45:00,24445.75,2024-07-26 03:45:00,24453.95,,,-8.2,29,0,1680,-149.45,371.55,Target
2024-07-26,long,2024-07-26 04:45:00,24595.0,2024-08-02 03:45:00,24789.0,,,194.0,35,0,2040,0.0,483.3,Target
2024-08-02,short,2024-08-02 08:45:00,24723.7,2024-08-08 06:45:00,24337.7,,,386.0,27,0,1560,-13.0,830.0,Target
2024-08-09,long,2024-08-09 03:45:00,24386.85,2024-08-13 06:45:00,24212.1,,,-174.75,18,0,1020,-183.65,85.95,Target
2024-08-14,short,2024-08-14 03:45:00,24116.5,2024-08-16 03:45:00,24334.85,,,-218.35,8,0,420,-287.05,0.0,Target
2024-08-16,long,2024-08-16 06:45:00,24444.35,2024-08-28 03:45:00,24973.65,,,529.3,54,0,3180,-16.7,628.75,Target
2024-08-28,long,2024-08-28 05:45:00,25073.1,2024-09-04 03:45:00,25089.95,,,16.85,34,0,1980,-74.6,260.55,Target
2024-09-06,short,2024-09-06 03:45:00,25083.8,2024-09-10 03:45:00,24999.4,,,84.4,15,0,840,0.0,330.65,Target
2024-09-12,long,2024-09-12 07:45:00,25130.5,2024-09-18 07:45:00,25368.1,,,237.6,29,0,1680,0.0,351.7,Target
2024-09-19,long,2024-09-19 03:45:00,25487.05,2024-09-25 05:45:00,25886.85,,,399.8,31,0,1800,-111.0,524.5,Target
2024-09-25,long,2024-09-25 08:45:00,26011.55,2024-09-30 03:45:00,26034.65,,,23.1,17,0,960,-50.0,265.8,Target
2024-09-30,short,2024-09-30 06:45:00,25882.3,2024-10-08 08:45:00,25042.7,,,839.6,38,0,2220,-25.3,1187.95,Target
2024-10-14,long,2024-10-14 05:45:00,25159.75,2024-10-15 06:45:00,25014.1,,,-145.65,9,0,480,-151.6,52.3,Target
2024-10-16,short,2024-10-16 05:45:00,24936.9,2024-10-18 07:45:00,24869.15,,,67.75,17,0,960,-122.95,369.25,Target
2024-10-22,short,2024-10-22 08:45:00,24567.65,2024-10-28 04:45:00,24440.25,,,127.4,25,0,1440,-36.6,493.75,Target
2024-10-30,long,2024-10-30 06:45:00,24492.6,2024-10-31 03:45:00,24269.1,,,-223.5,5,0,240,-258.3,0.0,Target
2024-11-04,short,2024-11-04 03:45:00,24172.6,2024-11-05 07:45:00,24037.2,,,135.4,12,0,660,0.0,356.45,Target
2024-11-06,long,2024-11-06 03:45:00,24368.25,2024-11-07 07:45:00,24181.95,,,-186.3,12,0,660,-189.2,169.35,Target
2024-11-11,short,2024-11-11 03:45:00,24066.65,2024-11-11 04:45:00,24276.15,,,-209.5,2,0,60,-245.7,0.0,Target
2024-11-12,short,2024-11-12 06:45:00,24004.6,2024-11-19 03:45:00,23606.8,,,397.8,26,0,1500,0.0,654.2,Target
2024-11-19,long,2024-11-19 04:45:00,23727.8,2024-11-21 03:45:00,23412.55,,,-315.25,7,0,360,-464.65,52.85,Target
2024-11-22,long,2024-11-22 07:45:00,23780.65,2024-11-26 07:45:00,24135.45,,,354.8,15,0,840,0.0,570.9,Target
